industry,avg_adoption,avg_maturity,avg_productivity_gain,avg_training_hours,avg_deployment_count,avg_roi_proxy,future_readiness_score
Energy,0.5315669318181818,6.302245738636364,0.42655101562500003,77.32440340909092,26.54012784090909,0.6750808779986499,90.62010497603488
Agriculture,0.5299576504932555,6.287258908798067,0.4064045399637608,77.07725991544191,26.40738876585464,0.5771210148512351,73.96947198191805
Financial Services,0.5290802556665593,6.281279765101872,0.4062734808608157,77.0313388477101,26.406380921688687,0.7854267905144395,72.08021102017887
Manufacturing,0.5279884051666444,6.278262615446393,0.4424817728550395,76.87283830812474,26.367989559630573,0.6406754745001841,68.58283267492132
Healthcare,0.5287149046865895,6.284291600765838,0.34933372180138184,76.97114792308332,26.42166819279114,0.6573585235259745,63.97575725880774
Retail,0.5282438896648045,6.274531125299282,0.36766091380686355,76.81449022346368,26.343774940143657,0.8317801068286095,61.06309104909647
Logistics,0.5274422445540229,6.26309281567942,0.43344922913675804,76.85923475438487,26.28562511703389,0.7210101294559366,60.990613601217284
Telecom,0.5265859286523216,6.265444507361268,0.3854975155719139,76.59842157417893,26.268898640996603,0.7664661366630577,52.05426903782766
Technology,0.525666905595377,6.251204089570484,0.3847477940767906,76.19402400400067,26.220731232983276,1.3124689718243936,47.26072624493306
Education,0.5212366423724554,6.218490826840915,0.30711873586328226,75.74439557677809,26.016210103040965,0.47540386580376826,0.0
