year,records,avg_adoption,avg_maturity,avg_productivity_gain,avg_automation_rate,avg_training_hours,avg_total_financial_impact
2015,9419,0.19148088969105,3.4144484552500263,0.15116734260537212,0.1723697420108292,28.821562798598578,1382081.4452701986
2016,9517,0.22009480928864136,3.6714500367762954,0.17267130398234737,0.19451816748975517,32.89814017022171,1583891.3275191763
2017,9542,0.2522849088241459,3.9495263047579123,0.19613495074407883,0.22017083420666528,37.20608887025781,1874737.3411234543
2018,9680,0.287984576446281,4.254724173553719,0.2210723243801653,0.24791453512396694,42.302303719008265,2121055.959504132
2019,9695,0.32042324909747294,4.536068076328005,0.24453884476534293,0.2735486952037132,46.85022176379577,2359010.5861784425
2020,9455,0.35387639344262295,4.8234764674775255,0.2686471813855103,0.2985228979375992,51.41169751454257,2671510.8017979907
2021,9600,0.39089352083333334,5.1142343750000006,0.294783,0.3281854375,56.89721875000001,3014224.8341666665
2022,9365,0.4264942124933262,5.406970635344368,0.3217549919914575,0.3570789321943406,61.992760277629465,3312534.7327282433
2023,9522,0.4559274837219072,5.679780508296576,0.34262544633480363,0.3800256983826927,66.33975005250997,3612726.979101029
2024,9532,0.4949571338648763,5.987493705413344,0.37099834242551405,0.41071402643726396,71.83815568610996,4021214.8821863197
2025,9518,0.5295329480983401,6.290323597394411,0.39626589619668,0.43814134271905864,77.09695314141626,4424694.131014919
2026,9653,0.5665663938671915,6.585308194343727,0.4230838702993888,0.4670774267067233,82.49869470630892,4905301.798301047
2027,9355,0.5978073543559593,6.863185462319615,0.44749489043292356,0.4922209727418493,86.8821165152325,5272888.561304116
2028,9647,0.6311076604125635,7.14431636778273,0.4699176738882554,0.5179639266093086,91.27157665595522,5558774.414014719
2029,9421,0.6689323426387856,7.448241163358455,0.499062063475215,0.549338297420656,97.2222269398153,6120827.117078867
2030,9473,0.7007186846827826,7.730219571413491,0.5210325451282593,0.5736550511981421,101.56677926739152,6628085.336218727
2031,9555,0.737696671899529,8.029028780743065,0.5483906017791732,0.6028959497645212,107.16670852956568,7069503.815384615
2032,9581,0.7688699613819017,8.312065546393905,0.5707371464356539,0.6269774658177644,111.63670806805136,7563156.768395783
2033,9540,0.8020583228511531,8.583530398322852,0.5943418658280922,0.6530181236897274,116.11541928721175,8210120.825681342
2034,9617,0.8336732348965373,8.853121555578664,0.6157770198606634,0.675294436934595,120.73914942289694,8635578.541333055
2035,9313,0.8578444862020831,9.08063352303232,0.6351487275850961,0.696280339310641,123.96483410286696,8868791.540642112
